batch,file,algorithm,node number,problem,distance,optimal distance,gap
1,rue,spt,3,1,20,20.0,0.000
1,rue,spt,3,2,18,18.0,0.000
1,rue,spt,3,3,17,17.0,0.000
1,rue,spt,3,4,16,16.0,0.000
1,rue,spt,3,5,13,13.0,0.000
1,rue,spt,6,1,35,32.0,9.375
1,rue,spt,6,2,32,25.0,28.000
1,rue,spt,6,3,26,23.0,13.043
1,rue,spt,6,4,24,22.0,9.091
1,rue,spt,6,5,22,19.0,15.789
1,rue,spt,10,1,63,47.0,34.043
1,rue,spt,10,2,51,36.0,41.667
1,rue,spt,10,3,39,33.0,18.182
1,rue,spt,10,4,46,30.0,53.333
1,rue,spt,10,5,32,28.0,14.286
1,rue,ga,3,1,42,20.0,110.000
1,rue,ga,3,2,40,18.0,122.222
1,rue,ga,3,3,37,17.0,117.647
1,rue,ga,3,4,35,16.0,118.750
1,rue,ga,3,5,37,13.0,184.615
1,rue,ga,6,1,46,32.0,43.750
1,rue,ga,6,2,44,25.0,76.000
1,rue,ga,6,3,44,23.0,91.304
1,rue,ga,6,4,41,22.0,86.364
1,rue,ga,6,5,37,19.0,94.737
1,rue,ga,10,1,66,47.0,40.426
1,rue,ga,10,2,53,36.0,47.222
1,rue,ga,10,3,49,33.0,48.485
1,rue,ga,10,4,45,30.0,50.000
1,rue,ga,10,5,43,28.0,53.571
1,rue,hybrid_Ga,3,1,20,20.0,0.000
1,rue,hybrid_Ga,3,2,18,18.0,0.000
1,rue,hybrid_Ga,3,3,17,17.0,0.000
1,rue,hybrid_Ga,3,4,16,16.0,0.000
1,rue,hybrid_Ga,3,5,13,13.0,0.000
1,rue,hybrid_Ga,6,1,33,32.0,3.125
1,rue,hybrid_Ga,6,2,27,25.0,8.000
1,rue,hybrid_Ga,6,3,25,23.0,8.696
1,rue,hybrid_Ga,6,4,22,22.0,0.000
1,rue,hybrid_Ga,6,5,21,19.0,10.526
1,rue,hybrid_Ga,10,1,52,47.0,10.638
1,rue,hybrid_Ga,10,2,40,36.0,11.111
1,rue,hybrid_Ga,10,3,38,33.0,15.152
1,rue,hybrid_Ga,10,4,34,30.0,13.333
1,rue,hybrid_Ga,10,5,29,28.0,3.571
